trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
388,False,"{'a': 0.65, 'e': 0.22052234408114924}",25,0,-72.77124109175381,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
389,False,"{'a': 0.65, 'e': 0.2199642017549479}",25,4,-13.0237352463864,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 0}",1
390,False,"{'a': 0.65, 'e': 0.21940707445297036}",30,23,15.268283696566048,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.65, 'e': 0.21885096234318502}",25,0,-53.35023597828675,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
392,False,"{'a': 0.65, 'e': 0.21829586558224612}",25,8,30.45608910975895,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.65, 'e': 0.21774178431553093}",25,15,-5.347738659074542,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
394,False,"{'a': 0.65, 'e': 0.21718871867717904}",20,8,17.163451157167785,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.65, 'e': 0.21663666879013088}",30,20,20.517837093917827,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.65, 'e': 0.21608563476616627}",25,20,10.449011341727626,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.65, 'e': 0.215535616705944}",20,0,-50.77209352869318,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
398,False,"{'a': 0.65, 'e': 0.21498661469904068}",25,6,-24.613520879044575,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
399,False,"{'a': 0.65, 'e': 0.21443862882399012}",25,9,35.444352655902605,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.65, 'e': 0.2138916591483223}",25,11,12.320509919610265,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
401,False,"{'a': 0.65, 'e': 0.2133457057286039}",20,8,10.08157571832555,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.65, 'e': 0.21280076861047714}",30,13,8.176194697209054,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
403,False,"{'a': 0.65, 'e': 0.21225684782869958}",20,7,6.426950337490423,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
404,False,"{'a': 0.65, 'e': 0.2117139434071843}",20,12,17.331606211451312,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.65, 'e': 0.21117205535904027}",20,2,-20.680410717212837,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
406,False,"{'a': 0.65, 'e': 0.2106311836866117}",20,13,13.603178443599354,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.65, 'e': 0.21009132838151856}",30,13,18.761942436733776,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
408,False,"{'a': 0.65, 'e': 0.20955248942469795}",30,22,13.937893335278106,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.65, 'e': 0.20901466678644265}",30,14,20.021443908352598,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.65, 'e': 0.20847786042644356}",25,19,11.3931983452961,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.65, 'e': 0.20794207029382938}",25,0,-28.531369310102097,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
412,False,"{'a': 0.65, 'e': 0.20740729632720767}",25,15,5.460686643707005,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
413,False,"{'a': 0.65, 'e': 0.2068735384547058}",20,8,5.150424069859069,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
414,False,"{'a': 0.65, 'e': 0.20634079659401194}",30,12,-27.13931664484367,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
415,False,"{'a': 0.65, 'e': 0.20580907065241638}",20,13,-11.324397425518843,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
416,False,"{'a': 0.65, 'e': 0.2052783605268521}",20,13,13.165218300763353,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.65, 'e': 0.20474866610393638}",20,12,14.01893853002553,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.65, 'e': 0.204219987260013}",20,5,23.10546036290899,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.65, 'e': 0.2036923238611923}",20,10,-2.124850061139587,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
420,False,"{'a': 0.65, 'e': 0.20316567576339384}",20,3,16.385420560496684,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
421,False,"{'a': 0.65, 'e': 0.20264004281238746}",20,8,19.520360398381605,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.65, 'e': 0.20211542484383516}",25,12,20.10507687479794,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.65, 'e': 0.20159182168333312}",30,23,15.6322788873462,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.65, 'e': 0.20106923314645342}",20,6,29.034783273517945,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.65, 'e': 0.2005476590387859}",25,3,-5.588332110545452,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
